Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Calorie_Level
17,Male,162.1,59.8,22.73,High,High
14,Male,171.8,67.5,22.87,High,High
14,Male,164.4,53.8,19.88,Medium,High
14,Male,176.6,88.8,28.48,High,High
6,Male,112.3,15.0,11.89,Medium,Low
7,Female,112.5,15.0,11.86,Low,Low
13,Male,172.7,65.4,21.93,Medium,High
11,Female,133.4,31.3,17.59,Medium,Low
8,Female,131.1,53.9,31.36,Medium,Medium
14,Female,168.7,62.9,22.1,Medium,Medium
9,Female,118.1,29.6,21.27,Medium,Low
6,Female,128.7,28.4,17.18,Low,Low
17,Male,152.7,58.1,24.93,Low,Medium
15,Male,155.0,65.0,27.04,Low,Medium
17,Male,162.6,64.8,24.5,Low,Medium
12,Female,145.8,43.0,20.22,Medium,Medium
8,Male,122.0,20.5,13.76,Medium,Low
13,Male,169.3,68.1,23.75,Low,Medium
9,Female,128.9,43.8,26.37,High,Medium
17,Female,180.3,68.4,21.05,High,High
13,Female,164.0,49.9,18.54,Medium,Medium
8,Female,136.9,23.3,12.43,High,Low
14,Male,174.2,67.1,22.1,Medium,High
9,Female,147.9,53.5,24.46,Low,Low
13,Female,163.7,69.8,26.05,High,High
12,Male,140.8,35.9,18.13,Low,Low
7,Male,137.6,37.3,19.73,High,Medium
5,Female,128.9,19.9,12.0,Medium,Low
7,Male,137.8,29.6,15.6,Medium,Medium
8,Female,132.2,36.8,21.07,Medium,Low
6,Female,103.9,15.0,13.89,Medium,Low
5,Male,128.8,24.9,15.05,Low,Low
11,Male,148.1,61.2,27.89,Medium,High
12,Female,146.3,54.1,25.24,High,High
11,Female,143.7,56.4,27.33,Medium,Medium
9,Female,109.1,15.0,12.61,Low,Low
16,Male,173.7,85.9,28.46,Medium,High
5,Female,128.7,46.2,27.86,High,Medium
11,Female,156.0,52.7,21.66,Medium,Medium
17,Female,149.6,48.4,21.61,Medium,Medium
11,Female,150.1,42.5,18.87,High,Medium
13,Female,162.7,53.5,20.22,Medium,Medium
7,Male,126.4,17.4,10.87,Medium,Low
13,Female,162.8,56.3,21.24,High,High
5,Female,130.4,32.6,19.18,High,Medium
5,Female,123.4,17.2,11.31,Low,Low
8,Female,114.5,16.4,12.54,Low,Low
13,Male,165.9,68.0,24.71,High,High
10,Male,142.9,39.1,19.16,Low,Low
17,Male,164.2,63.7,23.62,High,High
15,Female,133.1,28.9,16.31,Low,Low
7,Female,131.8,29.3,16.88,Medium,Low
5,Male,121.9,15.4,10.36,Low,Low
8,Male,111.5,15.0,12.06,High,Low
16,Male,174.2,69.4,22.87,High,High
17,Female,171.4,62.0,21.13,Medium,Medium
13,Female,161.7,66.5,25.41,High,High
7,Male,113.5,18.5,14.36,Low,Low
16,Male,166.8,75.7,27.21,Low,Medium
13,Male,166.2,58.0,21.0,High,High
11,Female,154.2,50.4,21.18,High,High
16,Female,160.6,62.4,24.21,High,High
8,Female,136.9,32.9,17.56,High,Medium
7,Male,119.6,24.2,16.89,Medium,Low
14,Male,151.5,55.5,24.18,Low,Medium
9,Female,113.7,17.5,13.55,High,Low
9,Male,124.4,36.1,23.31,Medium,Medium
7,Female,124.3,29.5,19.08,Medium,Low
16,Male,168.3,69.5,24.55,Medium,High
13,Male,164.1,62.5,23.23,Low,Medium
8,Male,134.8,33.8,18.6,High,Medium
15,Male,162.4,53.9,20.43,Low,Medium
9,Female,105.0,15.0,13.6,High,Low
8,Male,123.8,27.5,17.95,Medium,Low
9,Female,104.9,15.0,13.62,Medium,Low
11,Female,147.7,45.1,20.66,Medium,Medium
13,Female,175.6,88.3,28.63,Low,Medium
11,Male,135.1,33.7,18.47,Medium,Medium
17,Female,179.2,63.6,19.79,Medium,High
9,Female,133.4,40.8,22.9,Medium,Low
14,Female,177.1,73.2,23.36,Low,Medium
14,Male,166.9,75.0,26.91,Low,Medium
11,Male,135.1,24.9,13.62,Low,Low
14,Female,172.8,76.1,25.48,Medium,High
9,Male,118.8,15.0,10.64,Low,Low
7,Female,126.2,27.8,17.45,High,Low
11,Female,143.3,49.4,24.07,Medium,Medium
17,Male,176.2,80.5,25.92,High,High
15,Female,172.3,72.9,24.54,High,High
15,Male,164.2,53.2,19.72,Low,Medium
6,Male,105.5,15.0,13.48,High,Low
16,Female,158.6,66.9,26.58,Medium,Medium
13,Male,172.0,63.7,21.52,High,High
14,Male,167.8,60.6,21.53,High,High
14,Female,150.0,58.6,26.04,Low,Low
16,Female,146.9,45.3,20.97,Medium,Medium
5,Male,127.0,20.0,12.41,Medium,Low
17,Male,154.4,56.6,23.74,Medium,Medium
10,Female,135.4,30.3,16.52,Low,Low
11,Male,151.7,53.0,23.03,Low,Medium
17,Male,177.0,73.7,23.52,Medium,High
12,Male,137.5,34.9,18.45,Medium,Medium
14,Male,164.6,73.4,27.12,High,High
13,Male,164.3,44.5,16.5,High,High
6,Male,123.4,27.8,18.27,Medium,Low
15,Male,165.4,73.0,26.67,Low,Medium
14,Female,172.6,67.6,22.7,Low,Medium
6,Female,118.3,25.8,18.42,Medium,Low
9,Female,109.7,15.0,12.45,High,Low
17,Female,181.9,76.6,23.16,Medium,High
9,Female,135.9,29.7,16.08,Medium,Low
10,Male,134.0,41.6,23.17,High,Medium
7,Male,126.4,15.0,9.4,High,Medium
12,Male,155.1,68.2,28.36,Low,Medium
17,Male,172.5,70.1,23.54,Low,Medium
5,Female,129.6,34.5,20.56,Medium,Low
10,Male,143.3,47.5,23.15,Medium,Medium
8,Male,142.3,43.5,21.48,High,High
5,Female,127.2,22.4,13.84,Low,Low
11,Male,139.9,49.8,25.46,Low,Low
13,Male,173.7,69.6,23.06,High,High
17,Female,166.0,60.1,21.82,High,High
8,Male,128.5,35.5,21.51,High,Medium
8,Male,127.0,28.2,17.47,Medium,Low
10,Male,150.0,60.8,27.05,Medium,High
16,Male,155.2,54.7,22.71,Low,Medium
7,Male,110.5,15.0,12.29,Low,Low
17,Female,179.3,81.5,25.35,Medium,High
16,Female,167.5,63.9,22.78,Medium,Medium
10,Female,152.7,47.7,20.47,Low,Low
11,Female,127.4,34.1,20.98,High,Medium
15,Female,175.7,90.3,29.27,Low,Medium
14,Female,159.8,57.8,22.64,High,High
14,Male,156.9,49.1,19.95,Low,Medium
7,Female,124.4,23.1,14.96,High,Low
11,Female,135.2,39.3,21.51,Low,Low
7,Male,125.0,27.0,17.31,High,Medium
17,Male,163.6,73.2,27.33,Low,Medium
17,Female,175.6,80.9,26.24,Medium,High
6,Male,140.1,31.3,15.94,High,Medium
16,Female,179.8,75.9,23.46,Low,Medium
14,Male,142.4,31.3,15.45,Low,Low
8,Female,115.6,24.8,18.55,High,Low
16,Male,142.3,26.3,13.0,High,Medium
12,Male,133.1,22.8,12.88,Low,Low
17,Female,158.5,54.4,21.66,Low,Low
13,Female,169.1,73.6,25.74,Low,Medium
11,Female,139.8,35.6,18.23,Low,Low
5,Female,120.1,17.2,11.9,High,Low
7,Female,126.8,24.1,14.96,Medium,Low
17,Male,147.9,49.3,22.53,Medium,Medium
16,Female,156.6,46.8,19.1,High,Medium
13,Female,160.0,52.4,20.47,Medium,Medium
16,Male,163.0,76.4,28.77,Medium,High
5,Male,125.8,29.0,18.33,Medium,Low
13,Female,180.0,86.1,26.57,Medium,High
12,Male,154.1,54.5,22.98,Medium,Medium
5,Male,117.3,16.2,11.76,Low,Low
10,Female,142.4,46.0,22.71,Low,Low
9,Male,121.7,27.5,18.58,Low,Low
10,Male,139.9,46.6,23.84,Low,Low
14,Female,167.7,66.7,23.71,Medium,High
16,Female,146.4,54.0,25.22,Medium,Medium
17,Male,173.8,54.1,17.9,Medium,High
17,Male,181.9,89.1,26.91,Low,High
17,Female,162.3,58.9,22.35,Medium,Medium
9,Male,122.1,26.5,17.8,Low,Low
10,Male,146.6,41.4,19.26,Medium,Medium
9,Male,135.2,24.6,13.45,High,Medium
15,Female,161.8,64.5,24.64,Low,Medium
16,Male,174.3,62.3,20.51,High,High
9,Male,129.9,26.7,15.82,High,Medium
8,Female,148.6,42.1,19.07,Low,Low
7,Male,121.7,20.3,13.71,Low,Low
7,Male,105.2,15.0,13.54,High,Low
8,Female,110.7,15.0,12.25,Low,Low
13,Female,165.1,67.6,24.81,High,High
6,Female,135.3,41.2,22.51,Medium,Low
13,Female,158.5,53.6,21.35,Low,Low
5,Male,122.7,17.9,11.92,Low,Low
5,Male,131.8,42.8,24.62,Medium,Medium
9,Female,115.3,15.0,11.27,Medium,Low
10,Female,138.9,43.0,22.27,Medium,Medium
10,Male,133.3,37.3,21.0,High,Medium
7,Female,136.8,27.2,14.54,High,Medium
11,Male,160.4,54.3,21.11,Low,Medium
13,Female,149.2,52.2,23.45,High,High
15,Male,163.6,47.0,17.58,High,High
16,Female,179.1,77.4,24.13,High,High
14,Female,169.0,62.1,21.73,Medium,Medium
12,Male,140.1,49.0,24.96,High,High
10,Female,129.5,32.3,19.25,Medium,Low
16,Male,176.5,86.1,27.62,Medium,High
12,Male,148.6,48.3,21.87,High,High
16,Male,150.3,49.4,21.86,Low,Medium
9,Male,136.9,34.5,18.39,Low,Low
12,Male,129.0,25.0,15.01,High,Medium
14,Female,162.8,84.3,31.8,Low,Medium
16,Female,162.4,68.8,26.11,High,High
8,Male,141.2,32.7,16.38,High,Medium
14,Female,162.4,83.5,31.67,Low,Medium
12,Male,142.4,39.1,19.3,Medium,Medium
14,Female,151.4,53.9,23.54,High,High
16,Female,158.6,66.1,26.28,Medium,Medium
6,Female,116.8,15.0,10.99,High,Low
16,Female,157.3,50.7,20.49,High,High
16,Male,165.1,78.2,28.72,Medium,High
9,Male,100.7,15.0,14.8,Low,Low
13,Female,149.9,57.9,25.76,High,High
8,Female,123.9,20.3,13.2,Medium,Low
15,Male,166.2,65.5,23.69,Low,Medium
10,Female,142.7,56.9,27.98,High,High
5,Male,124.6,28.1,18.1,High,Medium
13,Male,160.9,58.2,22.46,Medium,High
5,Male,124.8,19.3,12.42,Medium,Low
9,Female,129.3,24.6,14.71,Medium,Low
8,Male,129.3,39.2,23.46,High,Medium
17,Female,158.1,64.2,25.69,High,High
16,Male,174.2,65.0,21.42,High,High
17,Female,166.6,67.3,24.24,Medium,High
17,Female,177.3,76.8,24.42,High,High
7,Female,139.3,41.9,21.56,High,Medium
17,Male,150.6,45.7,20.18,Low,Low
10,Male,136.4,45.2,24.29,Low,Low
6,Female,133.1,33.1,18.69,High,Medium
7,Female,108.4,15.0,12.78,Low,Low
9,Female,139.2,32.9,16.99,Low,Low
13,Male,161.6,55.7,21.33,Low,Medium
6,Male,130.8,52.0,30.42,Medium,Medium
14,Male,163.8,78.2,29.15,Low,Medium
12,Male,131.1,30.5,17.76,Medium,Medium
6,Female,135.6,47.8,26.02,High,Medium
15,Female,190.0,99.7,27.62,High,High
17,Male,159.8,54.8,21.47,High,High
9,Male,121.8,16.0,10.77,Low,Low
11,Female,118.5,23.9,16.99,High,Low
12,Male,158.5,60.6,24.12,High,High
5,Male,134.1,30.9,17.18,Medium,Medium
10,Male,127.7,33.4,20.51,Low,Low
5,Male,104.4,15.0,13.78,Medium,Low
6,Male,105.5,15.0,13.47,High,Low
5,Male,131.5,21.5,12.47,Medium,Low
15,Female,172.4,62.8,21.12,High,High
9,Male,115.8,15.0,11.19,Medium,Low
14,Male,170.0,72.9,25.23,Medium,High
13,Female,166.6,61.2,22.05,High,High
10,Female,141.3,31.6,15.81,Low,Low
15,Female,174.7,78.5,25.73,Medium,High
15,Male,153.0,64.9,27.74,High,High
5,Female,136.5,41.6,22.33,High,Medium
17,Male,157.7,72.1,29.0,Low,Medium
5,Male,142.8,54.1,26.52,Low,Medium
6,Male,114.9,15.0,11.35,Medium,Low
13,Female,161.5,66.5,25.52,High,High
7,Female,125.6,24.9,15.76,Medium,Low
5,Female,125.5,34.0,21.59,Medium,Low
9,Female,129.9,29.2,17.29,Low,Low
11,Female,132.1,25.8,14.79,High,Low
10,Male,144.6,55.6,26.59,High,High
16,Male,166.4,68.9,24.9,High,High
5,Male,119.7,15.0,10.46,Medium,Low
9,Male,129.0,25.1,15.04,High,Medium
9,Female,111.5,15.0,12.06,Medium,Low
10,Female,141.7,33.7,16.79,Medium,Low
7,Male,117.5,15.0,10.87,High,Low
9,Female,121.8,24.7,16.69,Low,Low
11,Female,159.5,60.0,23.59,Medium,Medium
9,Male,139.7,36.2,18.54,High,Medium
9,Male,137.7,49.7,26.19,Medium,Medium
9,Female,120.4,15.0,10.35,Low,Low
14,Female,174.1,76.5,25.25,Medium,High
14,Male,166.1,65.0,23.55,Medium,High
7,Male,125.5,17.7,11.24,High,Medium
5,Male,124.2,27.1,17.59,Low,Low
9,Female,142.6,40.8,20.08,High,Medium
13,Male,178.7,88.6,27.77,Low,High
5,Male,132.4,39.4,22.46,Low,Low
7,Female,123.3,38.5,25.36,Low,Low
17,Female,165.4,61.5,22.49,High,High
17,Female,170.3,81.5,28.09,Low,Medium
8,Female,119.8,15.0,10.45,High,Low
5,Female,134.4,33.5,18.55,Medium,Low
5,Male,115.8,15.0,11.19,High,Low
12,Male,148.9,53.7,24.23,High,High
6,Female,102.1,15.0,14.39,High,Low
16,Female,159.5,52.3,20.56,High,High
12,Female,165.8,71.0,25.85,Medium,High
11,Female,155.4,52.3,21.68,High,High
14,Female,180.4,73.8,22.69,Low,Medium
14,Male,158.3,58.2,23.23,Low,Medium
6,Male,126.0,15.0,9.44,Medium,Low
10,Male,157.8,65.3,26.21,Medium,High
10,Male,151.3,50.9,22.22,Medium,Medium
7,Female,130.1,29.8,17.62,Medium,Low
15,Male,181.3,80.6,24.52,Medium,High
6,Female,114.6,27.8,21.15,Medium,Low
16,Female,163.2,75.3,28.29,Low,Medium
5,Female,107.5,18.3,15.82,High,Low
10,Male,134.0,33.4,18.57,High,Medium
16,Female,175.7,66.8,21.63,High,High
9,Male,115.8,15.7,11.7,Medium,Low
15,Male,172.4,74.9,25.2,Medium,High
13,Female,181.6,88.1,26.71,High,High
5,Female,123.2,25.7,16.93,High,Low
11,Female,150.2,42.0,18.61,High,Medium
9,Male,132.4,28.1,16.05,Medium,Medium
9,Female,112.8,15.0,11.79,Medium,Low
6,Male,118.8,23.1,16.39,High,Medium
15,Female,155.0,59.5,24.77,Low,Low
7,Female,119.6,25.2,17.6,Medium,Low
11,Male,152.2,54.6,23.57,High,High
10,Male,139.0,22.6,11.68,High,Medium
16,Male,164.6,50.8,18.75,Medium,Medium
6,Male,114.6,15.0,11.43,Medium,Low
10,Male,157.3,58.0,23.47,High,High
6,Male,119.5,29.6,20.7,Medium,Low
6,Female,140.2,40.9,20.77,High,Medium
6,Female,125.6,17.8,11.28,High,Low
15,Male,150.9,56.2,24.68,High,High
7,Female,123.3,23.2,15.23,High,Low
6,Male,114.4,15.0,11.47,Medium,Low
8,Female,130.9,18.0,10.49,Medium,Low
13,Female,162.4,63.1,23.92,Medium,Medium
10,Male,146.6,48.5,22.54,Low,Medium
5,Male,121.3,15.0,10.19,Low,Low
12,Male,139.4,45.4,23.35,Low,Low
16,Female,155.3,60.5,25.1,High,High
11,Male,153.4,53.8,22.85,Low,Medium
14,Female,163.3,63.4,23.77,Low,Medium
7,Male,121.9,29.4,19.81,Low,Low
5,Female,123.0,26.0,17.15,Medium,Low
9,Female,118.2,15.0,10.73,Low,Low
17,Male,161.9,60.3,23.01,Medium,High
8,Female,127.1,31.5,19.52,Low,Low
14,Female,154.7,38.4,16.05,High,Medium
12,Male,136.1,28.7,15.47,High,Medium
5,Female,138.8,44.2,22.97,High,Medium
14,Male,161.4,71.0,27.28,Medium,High
5,Male,119.5,27.7,19.37,Medium,Low
16,Male,151.6,58.7,25.56,Medium,Medium
8,Male,133.5,34.5,19.38,Medium,Medium
12,Female,134.4,26.2,14.5,Medium,Low
9,Female,124.8,23.3,14.93,Low,Low
6,Female,107.9,15.0,12.88,High,Low
10,Male,153.2,63.6,27.1,Low,Medium
9,Female,136.8,30.2,16.16,Medium,Low
6,Female,129.8,25.6,15.17,Medium,Low
17,Male,149.7,58.1,25.95,Medium,Medium
15,Male,173.4,60.5,20.11,High,High
15,Female,156.7,47.2,19.22,Medium,Medium
15,Male,153.3,55.4,23.59,Medium,Medium
7,Male,121.2,25.3,17.25,Medium,Low
13,Male,161.0,60.4,23.31,Low,Medium
11,Male,139.9,39.6,20.24,Medium,Medium
11,Female,157.7,67.9,27.28,High,High
15,Male,185.1,90.2,26.32,High,High
10,Male,131.3,35.3,20.48,High,Medium
12,Male,138.1,44.3,23.23,Low,Low
8,Male,126.4,24.0,15.03,Low,Low
12,Male,141.1,58.5,29.38,Medium,Medium
8,Male,129.0,15.0,9.01,High,Medium
12,Male,154.2,65.8,27.7,High,High
13,Male,172.5,79.7,26.79,High,High
7,Female,131.1,33.1,19.25,Medium,Low
7,Male,141.6,42.2,21.07,Low,Low
15,Female,149.1,47.9,21.53,Low,Low
17,Male,179.8,88.6,27.42,Low,High
6,Male,120.9,20.6,14.07,Medium,Low
17,Male,172.9,67.0,22.43,Low,Medium
14,Male,154.7,61.9,25.87,High,High
7,Female,115.9,28.6,21.28,Medium,Low
7,Male,131.6,16.2,9.35,Medium,Low
9,Male,105.7,24.6,21.99,Low,Low
9,Female,134.9,26.6,14.62,Low,Low
6,Female,137.6,29.9,15.8,High,Medium
16,Male,166.8,56.8,20.43,Medium,High
14,Female,166.4,66.4,23.98,Medium,High
17,Female,156.7,46.4,18.92,High,Medium
10,Female,151.7,42.5,18.45,Medium,Medium
9,Male,128.5,23.0,13.91,Medium,Low
10,Male,135.8,36.9,20.01,High,Medium
5,Male,121.1,23.0,15.66,High,Medium
9,Female,123.4,33.3,21.89,Medium,Low
13,Male,161.1,70.8,27.3,Medium,High
16,Female,151.4,59.6,26.0,Medium,Medium
14,Male,172.0,69.9,23.63,High,High
6,Male,122.6,15.0,9.99,Medium,Low
5,Female,125.2,15.0,9.58,High,Low
14,Male,159.2,67.4,26.57,High,High
17,Female,169.8,76.5,26.55,High,High
15,Female,167.0,62.1,22.25,Low,Medium
13,Male,177.1,65.6,20.91,Low,Medium
14,Female,169.8,61.4,21.3,Low,Medium
13,Male,163.0,64.4,24.24,High,High
13,Male,157.6,59.0,23.76,Medium,High
10,Female,153.7,62.0,26.26,Low,Medium
12,Male,142.2,38.6,19.08,Low,Low
15,Female,163.3,61.3,23.0,Medium,Medium
17,Male,163.3,72.3,27.11,Low,Medium
5,Male,121.0,15.0,10.25,Low,Low
14,Male,163.5,66.0,24.7,Medium,High
8,Male,144.3,41.6,19.98,Low,Low
5,Male,114.5,20.2,15.42,Low,Low
12,Female,136.9,41.0,21.87,High,Medium
5,Female,138.8,33.3,17.26,High,Medium
7,Female,121.3,17.2,11.69,Medium,Low
17,Female,160.5,42.1,16.34,Low,Low
8,Female,135.3,41.3,22.57,High,Medium
12,Female,130.8,32.7,19.12,Medium,Low
10,Male,153.2,64.4,27.43,Low,Medium
14,Male,165.5,62.3,22.74,Low,Medium
16,Female,169.6,77.0,26.74,Low,Medium
11,Female,149.5,40.9,18.31,Medium,Medium
12,Male,138.7,17.1,8.88,High,Medium
6,Male,135.5,34.8,18.93,High,Medium
17,Male,159.5,55.0,21.61,Medium,Medium
14,Female,169.1,60.7,21.22,Medium,Medium
15,Female,177.4,84.6,26.88,Medium,High
12,Female,158.8,68.5,27.15,Medium,Medium
7,Male,122.3,23.2,15.48,Low,Low
11,Male,149.6,48.2,21.52,Medium,Medium
7,Female,121.4,21.9,14.86,High,Low
11,Female,170.0,64.8,22.42,Medium,High
15,Male,172.8,77.3,25.89,High,High
16,Male,165.8,53.5,19.46,Medium,High
17,Male,168.1,59.5,21.06,Medium,High
6,Male,129.1,22.7,13.65,Low,Low
14,Female,169.4,73.7,25.69,Medium,High
10,Male,142.6,40.2,19.76,High,High
7,Male,121.1,31.9,21.79,Medium,Low
7,Male,123.5,29.9,19.61,Low,Low
13,Female,153.6,47.2,20.0,Low,Low
11,Female,152.2,57.3,24.72,Medium,Medium
9,Male,117.0,15.0,10.96,Medium,Low
16,Male,154.4,58.2,24.41,Medium,High
14,Male,164.9,71.7,26.37,High,High
11,Female,143.7,52.6,25.48,High,Medium
13,Female,167.5,69.1,24.63,Medium,High
5,Female,119.3,32.1,22.56,Low,Low
11,Male,141.1,44.6,22.41,Low,Low
10,Female,151.9,53.0,22.96,Medium,Medium
14,Male,171.3,68.9,23.47,High,High
16,Male,170.9,65.8,22.55,High,High
13,Male,165.3,68.7,25.13,Medium,High
5,Female,126.7,27.5,17.13,Low,Low
17,Male,167.3,69.4,24.79,High,High
8,Female,118.4,22.3,15.89,High,Low
13,Female,179.7,81.8,25.32,Medium,High
8,Male,138.3,54.4,28.45,Low,Medium
14,Male,172.9,68.7,22.98,Medium,High
7,Female,120.7,24.2,16.6,High,Low
13,Male,170.4,68.6,23.62,Medium,High
17,Female,174.8,55.1,18.03,High,High
6,Male,112.8,15.0,11.8,Low,Low
8,Female,141.9,34.5,17.1,Low,Low
10,Female,127.6,27.1,16.63,Low,Low
6,Female,132.0,31.8,18.26,High,Medium
12,Female,159.5,62.6,24.6,Medium,Medium
12,Male,143.9,39.6,19.15,High,High
5,Male,123.5,20.3,13.28,Low,Low
16,Female,171.7,77.3,26.22,High,High
7,Female,143.5,37.0,17.99,High,Medium
14,Male,162.2,47.5,18.05,Low,Medium
13,Male,157.2,58.4,23.65,High,High
9,Male,120.8,29.3,20.11,Low,Low
10,Male,129.5,35.0,20.87,Low,Low
8,Male,134.0,35.4,19.71,Low,Low
14,Male,159.9,69.9,27.34,High,High
6,Female,122.9,31.6,20.9,High,Medium
15,Male,174.1,71.4,23.57,Medium,High
12,Male,141.2,43.2,21.66,High,High
15,Female,172.6,74.9,25.15,Medium,High
17,Male,154.6,53.9,22.56,High,High
10,Male,154.6,63.7,26.64,Low,Medium
9,Male,128.4,27.2,16.49,Medium,Low
13,Male,164.1,60.1,22.32,Medium,High
5,Male,126.3,15.0,9.4,Low,Low
9,Female,112.1,15.0,11.93,Medium,Low
10,Male,146.1,35.6,16.66,Medium,Medium
9,Female,123.6,23.3,15.23,Low,Low
10,Female,132.4,22.4,12.76,High,Low
10,Male,138.3,43.2,22.57,Low,Low
11,Female,143.7,52.6,25.46,High,Medium
8,Male,118.9,18.7,13.21,Low,Low
15,Female,140.9,33.0,16.63,Low,Low
12,Female,155.8,58.1,23.93,Low,Low
11,Male,143.6,58.7,28.49,High,High
13,Male,142.3,54.9,27.14,High,High
11,Male,166.3,55.1,19.91,Low,Medium
7,Male,137.4,25.9,13.7,Low,Low
7,Male,121.5,15.0,10.16,Medium,Low
12,Female,136.6,27.5,14.73,Medium,Low
9,Female,129.0,31.0,18.65,High,Medium
8,Female,127.0,22.6,13.99,Low,Low
12,Female,150.4,43.7,19.32,Medium,Medium
10,Female,136.6,44.9,24.07,High,Medium
6,Female,136.0,40.2,21.75,High,Medium
8,Female,120.3,15.0,10.37,Medium,Low
16,Male,171.8,79.7,26.99,Low,Medium
15,Male,157.0,61.1,24.77,Low,Medium
8,Female,151.5,55.7,24.28,Medium,Medium
10,Female,152.0,47.4,20.52,Medium,Medium
10,Male,173.8,72.3,23.94,High,High
5,Male,133.3,17.5,9.85,High,Medium
12,Male,139.4,46.3,23.84,Medium,Medium
10,Male,153.3,45.3,19.28,Medium,Medium
7,Female,134.0,27.0,15.06,Medium,Low
13,Male,168.7,61.7,21.66,Low,Medium
6,Female,131.3,45.7,26.51,Low,Low
15,Female,172.6,67.3,22.58,Medium,High
12,Female,135.1,42.6,23.35,Low,Low
14,Male,154.4,54.2,22.73,Low,Medium
7,Male,117.1,15.0,10.95,Low,Low
17,Female,166.3,58.2,21.05,Low,Medium
16,Female,162.8,57.7,21.79,Low,Medium
9,Female,115.2,15.0,11.29,Medium,Low
10,Male,152.8,57.6,24.67,Medium,High
14,Female,167.8,64.1,22.74,Medium,Medium
10,Male,146.7,42.6,19.81,Medium,Medium
8,Female,122.4,15.4,10.26,High,Low
7,Female,121.2,15.0,10.21,Low,Low
8,Female,116.6,15.0,11.04,Medium,Low
5,Male,134.3,42.2,23.41,Low,Low
8,Male,118.0,15.0,10.78,Medium,Low
5,Female,127.1,23.6,14.59,High,Low
16,Male,181.6,76.3,23.13,High,High
5,Female,121.7,19.1,12.93,Medium,Low
14,Male,174.6,77.6,25.44,Medium,High
10,Male,150.7,46.8,20.61,Medium,Medium
9,Male,128.1,29.6,18.01,Low,Low
15,Female,169.3,80.6,28.14,Medium,High
8,Male,124.1,17.5,11.37,Medium,Low
17,Male,165.3,61.8,22.62,Medium,High
15,Female,159.5,64.6,25.41,Low,Medium
7,Female,125.4,37.4,23.77,High,Medium
5,Female,119.1,15.0,10.57,Low,Low
10,Female,155.1,41.5,17.24,Low,Low
6,Male,108.0,15.0,12.86,Medium,Low
12,Male,149.8,49.0,21.82,Low,Medium
14,Male,168.4,74.0,26.09,High,High
9,Male,127.5,31.8,19.6,Medium,Medium
11,Male,155.2,55.0,22.81,High,High
14,Female,162.1,70.5,26.83,Medium,High
16,Male,167.6,62.1,22.12,High,High
6,Male,107.8,15.0,12.9,High,Low
17,Male,160.8,51.1,19.76,Medium,Medium
12,Female,153.6,53.2,22.57,Medium,Medium
6,Female,111.6,15.0,12.04,High,Low
8,Male,126.6,17.7,11.03,Low,Low
5,Female,118.2,31.9,22.82,Medium,Low
9,Female,123.9,15.0,9.77,Low,Low
13,Female,158.8,57.1,22.63,Low,Medium
5,Female,112.5,19.1,15.12,Low,Low
13,Female,168.9,86.6,30.38,Medium,High
15,Female,164.5,65.9,24.36,Medium,Medium
12,Female,151.1,53.0,23.21,Low,Low
10,Male,152.9,53.3,22.77,High,High
11,Male,157.3,65.7,26.57,Medium,High
7,Female,126.3,29.8,18.66,High,Medium
5,Male,137.7,33.1,17.45,High,Medium
9,Male,115.2,24.2,18.2,High,Medium
16,Female,174.1,70.4,23.23,High,High
16,Male,169.6,56.8,19.75,High,High
6,Female,127.3,15.0,9.25,High,Low
9,Female,129.4,27.8,16.61,Low,Low
12,Female,135.4,36.2,19.76,Medium,Low
15,Male,153.0,60.7,25.91,High,High
13,Male,182.1,87.2,26.3,Medium,High
6,Male,123.3,24.0,15.75,High,Medium
16,Male,163.2,71.3,26.77,High,High
7,Female,114.0,15.0,11.55,Low,Low
7,Female,110.2,15.0,12.36,High,Low
5,Male,124.1,15.0,9.74,Low,Low
12,Female,141.6,51.8,25.85,Medium,Medium
10,Female,145.0,27.1,12.87,Medium,Low
16,Male,165.9,64.3,23.36,Low,Medium
17,Female,189.9,113.7,31.54,Medium,High
12,Male,141.6,45.3,22.58,Medium,Medium
15,Female,180.8,79.1,24.21,Low,Medium
13,Male,181.4,67.9,20.64,High,High
9,Female,132.5,45.5,25.89,Medium,Medium
16,Female,162.6,72.4,27.35,Medium,High
7,Male,111.4,16.9,13.59,Low,Low
9,Male,129.8,29.8,17.68,High,Medium
9,Male,135.2,39.8,21.76,High,Medium
9,Male,142.5,41.3,20.34,Low,Low
7,Female,115.5,15.0,11.24,Low,Low
15,Female,162.6,70.2,26.57,High,High
14,Male,155.6,55.2,22.79,Medium,Medium
8,Female,118.7,22.8,16.22,Low,Low
13,Male,171.6,70.7,23.99,Medium,High
17,Male,158.2,61.9,24.73,Medium,High
14,Female,156.8,56.6,23.05,High,High
13,Female,173.0,72.2,24.14,Low,Medium
6,Male,129.5,29.7,17.74,Medium,Medium
12,Male,148.5,72.2,32.73,Low,Medium
12,Male,138.5,44.9,23.41,High,High
11,Female,157.9,78.6,31.52,High,High
12,Female,145.1,45.1,21.4,High,Medium
7,Female,148.8,46.3,20.92,Medium,Medium
17,Female,166.6,58.0,20.9,Medium,Medium
10,Male,121.7,34.5,23.3,High,Medium
5,Male,101.2,15.0,14.64,Low,Low
11,Male,151.2,65.7,28.73,High,High
