Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Daily_Calories,Calorie_Level
12,Female,118.0,15.3,11.01,Medium,1004.0,Low
7,Female,126.9,22.1,13.73,High,1472.0,Low
16,Female,154.4,53.9,22.58,Medium,1894.0,Medium
14,Male,178.9,77.7,24.27,High,3294.0,High
11,Male,142.3,33.8,16.7,Medium,1766.0,Medium
14,Female,174.4,96.1,31.58,High,3276.0,High
9,Male,136.1,42.6,22.98,Low,1484.0,Low
14,Female,175.8,77.8,25.16,Low,1975.0,Medium
9,Female,119.3,20.1,14.08,Medium,1111.0,Low
11,Male,139.2,48.8,25.2,Medium,1962.0,Medium
13,Female,162.8,79.4,29.96,Medium,2377.0,High
16,Female,171.4,76.8,26.17,Medium,2398.0,High
9,Male,119.9,20.9,14.51,Low,1102.0,Low
5,Female,123.8,35.6,23.22,Medium,1416.0,Low
14,Female,167.7,68.9,24.48,Medium,2259.0,High
14,Male,156.0,59.4,24.44,Low,1805.0,Medium
5,Female,115.3,23.3,17.54,Medium,1152.0,Low
6,Male,123.4,20.3,13.34,Medium,1424.0,Low
10,Female,144.7,28.1,13.43,Medium,1462.0,Low
13,Male,169.3,65.9,22.97,Low,1988.0,Medium
12,Male,151.7,57.9,25.15,High,2650.0,High
17,Male,154.0,59.6,25.14,Medium,2218.0,High
9,Female,116.9,27.6,20.22,Low,961.0,Low
5,Male,115.3,15.0,11.28,Medium,1276.0,Low
17,Male,179.1,91.8,28.6,High,3523.0,High
11,Male,143.8,45.3,21.9,Medium,1952.0,Medium
9,Male,125.2,30.0,19.15,High,1876.0,Medium
10,Male,145.6,52.8,24.92,Low,1672.0,Medium
17,Female,157.8,46.8,18.78,High,2175.0,Medium
11,Female,160.6,52.6,20.38,Medium,1971.0,Medium
7,Female,129.1,20.8,12.48,Low,983.0,Low
16,Female,165.4,74.0,27.04,Medium,2299.0,High
14,Female,153.9,51.5,21.73,High,2243.0,High
7,Female,113.4,29.6,23.03,High,1456.0,Low
9,Female,121.9,21.9,14.76,Medium,1163.0,Low
10,Male,138.0,26.2,13.77,Low,1296.0,Low
13,Female,154.3,48.9,20.55,Medium,1842.0,Medium
17,Male,161.3,62.2,23.92,Low,1860.0,Medium
16,Male,162.8,67.0,25.25,Low,1935.0,Medium
9,Female,126.4,18.5,11.6,Medium,1154.0,Low
5,Male,120.0,24.5,17.03,High,1755.0,Medium
8,Male,114.9,21.6,16.36,Medium,1349.0,Low
9,Male,115.3,15.0,11.29,Low,997.0,Low
16,Male,177.1,92.9,29.6,Medium,2941.0,High
14,Female,152.5,48.2,20.74,High,2168.0,Medium
14,Female,168.6,60.6,21.32,High,2573.0,High
9,Female,130.2,18.0,10.6,Medium,1181.0,Low
11,Female,143.8,53.6,25.9,High,2193.0,Medium
8,Female,142.7,42.9,21.05,High,2015.0,Medium
5,Female,130.0,26.2,15.49,Low,1066.0,Low
9,Female,143.4,31.6,15.38,Medium,1510.0,Low
11,Female,138.5,35.4,18.44,High,1806.0,Medium
14,Female,158.7,77.7,30.87,Medium,2307.0,High
14,Female,170.3,53.1,18.32,Low,1637.0,Medium
10,Male,142.4,37.3,18.41,Medium,1827.0,Medium
9,Female,141.9,56.2,27.93,Medium,1864.0,Medium
8,Male,128.4,38.4,23.29,High,2073.0,Medium
6,Male,114.6,15.0,11.43,Medium,1261.0,Low
8,Male,107.6,15.0,12.95,Medium,1182.0,Low
14,Male,164.2,67.9,25.19,High,2953.0,High
14,Female,164.1,65.2,24.2,Medium,2170.0,Medium
7,Male,128.1,42.4,25.83,Low,1434.0,Low
14,Female,177.1,79.8,25.45,High,3014.0,High
5,Female,135.8,44.9,24.34,Medium,1667.0,Medium
12,Male,139.2,40.7,20.98,Medium,1833.0,Medium
9,Female,112.1,15.0,11.94,Medium,967.0,Low
17,Male,152.7,43.1,18.5,Low,1566.0,Low
8,Male,117.6,15.0,10.84,High,1530.0,Low
12,Female,141.3,39.3,19.69,Medium,1584.0,Low
11,Female,148.1,64.7,29.51,Medium,2034.0,Medium
6,Male,117.0,19.9,14.53,Low,1086.0,Low
5,Female,127.8,27.0,16.5,Medium,1324.0,Low
16,Female,168.6,78.5,27.62,High,2877.0,High
15,Female,166.4,54.8,19.79,High,2434.0,High
8,Male,113.7,15.0,11.6,High,1486.0,Low
12,Male,149.7,44.6,19.9,Medium,1989.0,Medium
16,Female,185.8,89.0,25.78,High,3259.0,High
6,Female,127.5,34.6,21.31,Medium,1428.0,Low
7,Female,95.5,15.0,16.46,High,991.0,Low
16,Female,177.4,81.3,25.83,High,3026.0,High
5,Female,118.0,15.1,10.84,Medium,1053.0,Low
5,Male,147.7,50.2,23.04,Medium,2108.0,Medium
17,Female,166.2,59.4,21.53,Low,1664.0,Medium
7,Male,108.2,15.0,12.82,Medium,1194.0,Low
15,Female,144.4,40.3,19.36,High,1925.0,Medium
9,Male,140.4,31.4,15.94,Low,1382.0,Low
16,Female,176.1,76.4,24.64,Low,1948.0,Medium
7,Male,147.3,32.0,14.74,Low,1452.0,Low
5,Female,125.1,36.9,23.58,High,1737.0,Medium
5,Male,124.4,30.8,19.9,Medium,1599.0,Low
12,Male,141.2,43.9,22.01,Low,1519.0,Low
14,Male,158.4,45.4,18.1,Medium,2069.0,Medium
15,Male,161.1,55.5,21.38,Medium,2237.0,High
16,Male,167.2,67.5,24.15,Medium,2467.0,High
17,Male,156.6,54.5,22.22,High,2598.0,High
17,Female,148.3,34.8,15.82,Medium,1543.0,Low
16,Male,166.6,56.1,20.2,Medium,2290.0,High
6,Female,116.3,15.0,11.08,Low,823.0,Low
17,Female,132.6,22.3,12.7,Low,967.0,Low
7,Female,130.5,41.5,24.36,Medium,1552.0,Low
6,Female,113.9,17.9,13.77,Medium,1050.0,Low
7,Female,131.6,25.2,14.54,Medium,1318.0,Low
11,Male,151.4,60.7,26.5,Low,1804.0,Medium
5,Male,127.8,35.6,21.77,Low,1362.0,Low
14,Male,190.0,92.3,25.57,High,3681.0,High
12,Female,143.6,43.3,20.99,Medium,1664.0,Medium
17,Male,162.1,59.8,22.73,High,2756.0,High
14,Male,171.8,67.5,22.87,High,3031.0,High
14,Male,164.4,53.8,19.88,Medium,2250.0,High
14,Male,176.6,88.8,28.48,High,3469.0,High
6,Male,112.3,15.0,11.89,Medium,1240.0,Low
7,Female,112.5,15.0,11.86,Low,788.0,Low
13,Male,172.7,65.4,21.93,Medium,2509.0,High
11,Female,133.4,31.3,17.59,Medium,1395.0,Low
8,Female,131.1,53.9,31.36,Medium,1736.0,Medium
14,Female,168.7,62.9,22.1,Medium,2178.0,Medium
9,Female,118.1,29.6,21.27,Medium,1242.0,Low
6,Female,128.7,28.4,17.18,Low,1077.0,Low
17,Male,152.7,58.1,24.93,Low,1746.0,Medium
15,Male,155.0,65.0,27.04,Low,1858.0,Medium
17,Male,162.6,64.8,24.5,Low,1901.0,Medium
12,Female,145.8,43.0,20.22,Medium,1680.0,Medium
8,Male,122.0,20.5,13.76,Medium,1398.0,Low
13,Male,169.3,68.1,23.75,Low,2015.0,Medium
9,Female,128.9,43.8,26.37,High,1868.0,Medium
17,Female,180.3,68.4,21.05,High,2817.0,High
13,Female,164.0,49.9,18.54,Medium,1947.0,Medium
8,Female,136.9,23.3,12.43,High,1598.0,Low
14,Male,174.2,67.1,22.1,Medium,2542.0,High
9,Female,147.9,53.5,24.46,Low,1505.0,Low
13,Female,163.7,69.8,26.05,High,2692.0,High
12,Male,140.8,35.9,18.13,Low,1421.0,Low
7,Male,137.6,37.3,19.73,High,2166.0,Medium
5,Female,128.9,19.9,12.0,Medium,1228.0,Low
7,Male,137.8,29.6,15.6,Medium,1691.0,Medium
8,Female,132.2,36.8,21.07,Medium,1490.0,Low
6,Female,103.9,15.0,13.89,Medium,913.0,Low
5,Male,128.8,24.9,15.05,Low,1241.0,Low
11,Male,148.1,61.2,27.89,Medium,2231.0,High
12,Female,146.3,54.1,25.24,High,2221.0,High
11,Female,143.7,56.4,27.33,Medium,1869.0,Medium
9,Female,109.1,15.0,12.61,Low,751.0,Low
16,Male,173.7,85.9,28.46,Medium,2805.0,High
5,Female,128.7,46.2,27.86,High,1945.0,Medium
11,Female,156.0,52.7,21.66,Medium,1929.0,Medium
17,Female,149.6,48.4,21.61,Medium,1759.0,Medium
11,Female,150.1,42.5,18.87,High,2064.0,Medium
13,Female,162.7,53.5,20.22,Medium,1988.0,Medium
7,Male,126.4,17.4,10.87,Medium,1401.0,Low
13,Female,162.8,56.3,21.24,High,2437.0,High
5,Female,130.4,32.6,19.18,High,1720.0,Medium
5,Female,123.4,17.2,11.31,Low,909.0,Low
8,Female,114.5,16.4,12.54,Low,815.0,Low
13,Male,165.9,68.0,24.71,High,2982.0,High
10,Male,142.9,39.1,19.16,Low,1487.0,Low
17,Male,164.2,63.7,23.62,High,2849.0,High
15,Female,133.1,28.9,16.31,Low,1062.0,Low
7,Female,131.8,29.3,16.88,Medium,1382.0,Low
5,Male,121.9,15.4,10.36,Low,1074.0,Low
8,Male,111.5,15.0,12.06,High,1462.0,Low
16,Male,174.2,69.4,22.87,High,3075.0,High
17,Female,171.4,62.0,21.13,Medium,2168.0,Medium
13,Female,161.7,66.5,25.41,High,2609.0,High
7,Male,113.5,18.5,14.36,Low,1037.0,Low
16,Male,166.8,75.7,27.21,Low,2069.0,Medium
13,Male,166.2,58.0,21.0,High,2807.0,High
11,Female,154.2,50.4,21.18,High,2254.0,High
16,Female,160.6,62.4,24.21,High,2496.0,High
8,Female,136.9,32.9,17.56,High,1772.0,Medium
7,Male,119.6,24.2,16.89,Medium,1439.0,Low
14,Male,151.5,55.5,24.18,Low,1725.0,Medium
9,Female,113.7,17.5,13.55,High,1223.0,Low
9,Male,124.4,36.1,23.31,Medium,1647.0,Medium
7,Female,124.3,29.5,19.08,Medium,1314.0,Low
16,Male,168.3,69.5,24.55,Medium,2508.0,High
13,Male,164.1,62.5,23.23,Low,1909.0,Medium
8,Male,134.8,33.8,18.6,High,2061.0,Medium
15,Male,162.4,53.9,20.43,Low,1780.0,Medium
9,Female,105.0,15.0,13.6,High,1081.0,Low
8,Male,123.8,27.5,17.95,Medium,1521.0,Low
9,Female,104.9,15.0,13.62,Medium,900.0,Low
11,Female,147.7,45.1,20.66,Medium,1737.0,Medium
13,Female,175.6,88.3,28.63,Low,2105.0,Medium
11,Male,135.1,33.7,18.47,Medium,1698.0,Medium
17,Female,179.2,63.6,19.79,Medium,2264.0,High
9,Female,133.4,40.8,22.9,Medium,1554.0,Low
14,Female,177.1,73.2,23.36,Low,1930.0,Medium
14,Male,166.9,75.0,26.91,Low,2073.0,Medium
11,Male,135.1,24.9,13.62,Low,1251.0,Low
14,Female,172.8,76.1,25.48,Medium,2415.0,High
9,Male,118.8,15.0,10.64,Low,1023.0,Low
7,Female,126.2,27.8,17.45,High,1567.0,Low
11,Female,143.3,49.4,24.07,Medium,1761.0,Medium
17,Male,176.2,80.5,25.92,High,3288.0,High
15,Female,172.3,72.9,24.54,High,2825.0,High
15,Male,164.2,53.2,19.72,Low,1785.0,Medium
6,Male,105.5,15.0,13.48,High,1412.0,Low
16,Female,158.6,66.9,26.58,Medium,2129.0,Medium
13,Male,172.0,63.7,21.52,High,2974.0,High
14,Male,167.8,60.6,21.53,High,2862.0,High
14,Female,150.0,58.6,26.04,Low,1550.0,Low
16,Female,146.9,45.3,20.97,Medium,1695.0,Medium
5,Male,127.0,20.0,12.41,Medium,1460.0,Low
17,Male,154.4,56.6,23.74,Medium,2177.0,Medium
10,Female,135.4,30.3,16.52,Low,1126.0,Low
11,Male,151.7,53.0,23.03,Low,1714.0,Medium
17,Male,177.0,73.7,23.52,Medium,2645.0,High
12,Male,137.5,34.9,18.45,Medium,1730.0,Medium
14,Male,164.6,73.4,27.12,High,3056.0,High
13,Male,164.3,44.5,16.5,High,2541.0,High
6,Male,123.4,27.8,18.27,Medium,1536.0,Low
15,Male,165.4,73.0,26.67,Low,2032.0,Medium
14,Female,172.6,67.6,22.7,Low,1828.0,Medium
6,Female,118.3,25.8,18.42,Medium,1209.0,Low
9,Female,109.7,15.0,12.45,High,1134.0,Low
17,Female,181.9,76.6,23.16,Medium,2486.0,High
9,Female,135.9,29.7,16.08,Medium,1410.0,Low
10,Male,134.0,41.6,23.17,High,2174.0,Medium
7,Male,126.4,15.0,9.4,High,1638.0,Medium
12,Male,155.1,68.2,28.36,Low,1916.0,Medium
17,Male,172.5,70.1,23.54,Low,2038.0,Medium
5,Female,129.6,34.5,20.56,Medium,1454.0,Low
10,Male,143.3,47.5,23.15,Medium,1989.0,Medium
8,Male,142.3,43.5,21.48,High,2320.0,High
5,Female,127.2,22.4,13.84,Low,1000.0,Low
11,Male,139.9,49.8,25.46,Low,1586.0,Low
13,Male,173.7,69.6,23.06,High,3099.0,High
17,Female,166.0,60.1,21.82,High,2506.0,High
8,Male,128.5,35.5,21.51,High,2022.0,Medium
8,Male,127.0,28.2,17.47,Medium,1561.0,Low
10,Male,150.0,60.8,27.05,Medium,2251.0,High
16,Male,155.2,54.7,22.71,Low,1731.0,Medium
7,Male,110.5,15.0,12.29,Low,973.0,Low
17,Female,179.3,81.5,25.35,Medium,2535.0,High
16,Female,167.5,63.9,22.78,Medium,2167.0,Medium
10,Female,152.7,47.7,20.47,Low,1465.0,Low
11,Female,127.4,34.1,20.98,High,1658.0,Medium
15,Female,175.7,90.3,29.27,Low,2118.0,Medium
14,Female,159.8,57.8,22.64,High,2422.0,High
14,Male,156.9,49.1,19.95,Low,1689.0,Medium
7,Female,124.4,23.1,14.96,High,1463.0,Low
11,Female,135.2,39.3,21.51,Low,1227.0,Low
7,Male,125.0,27.0,17.31,High,1839.0,Medium
17,Male,163.6,73.2,27.33,Low,2010.0,Medium
17,Female,175.6,80.9,26.24,Medium,2491.0,High
6,Male,140.1,31.3,15.94,High,2095.0,Medium
16,Female,179.8,75.9,23.46,Low,1970.0,Medium
14,Male,142.4,31.3,15.45,Low,1365.0,Low
8,Female,115.6,24.8,18.55,High,1386.0,Low
16,Male,142.3,26.3,13.0,High,1939.0,Medium
12,Male,133.1,22.8,12.88,Low,1206.0,Low
17,Female,158.5,54.4,21.66,Low,1547.0,Low
13,Female,169.1,73.6,25.74,Low,1880.0,Medium
11,Female,139.8,35.6,18.23,Low,1217.0,Low
5,Female,120.1,17.2,11.9,High,1325.0,Low
7,Female,126.8,24.1,14.96,Medium,1256.0,Low
17,Male,147.9,49.3,22.53,Medium,2006.0,Medium
16,Female,156.6,46.8,19.1,High,2171.0,Medium
13,Female,160.0,52.4,20.47,Medium,1946.0,Medium
16,Male,163.0,76.4,28.77,Medium,2562.0,High
5,Male,125.8,29.0,18.33,Medium,1584.0,Low
13,Female,180.0,86.1,26.57,Medium,2640.0,High
12,Male,154.1,54.5,22.98,Medium,2180.0,Medium
5,Male,117.3,16.2,11.76,Low,1050.0,Low
10,Female,142.4,46.0,22.71,Low,1367.0,Low
9,Male,121.7,27.5,18.58,Low,1195.0,Low
10,Male,139.9,46.6,23.84,Low,1554.0,Low
14,Female,167.7,66.7,23.71,Medium,2227.0,High
16,Female,146.4,54.0,25.22,Medium,1822.0,Medium
17,Male,173.8,54.1,17.9,Medium,2321.0,High
17,Male,181.9,89.1,26.91,Low,2337.0,High
17,Female,162.3,58.9,22.35,Medium,2036.0,Medium
9,Male,122.1,26.5,17.8,Low,1186.0,Low
10,Male,146.6,41.4,19.26,Medium,1927.0,Medium
9,Male,135.2,24.6,13.45,High,1891.0,Medium
15,Female,161.8,64.5,24.64,Low,1704.0,Medium
16,Male,174.3,62.3,20.51,High,2948.0,High
9,Male,129.9,26.7,15.82,High,1870.0,Medium
8,Female,148.6,42.1,19.07,Low,1379.0,Low
7,Male,121.7,20.3,13.71,Low,1121.0,Low
7,Male,105.2,15.0,13.54,High,1400.0,Low
8,Female,110.7,15.0,12.25,Low,769.0,Low
13,Female,165.1,67.6,24.81,High,2668.0,High
6,Female,135.3,41.2,22.51,Medium,1600.0,Low
13,Female,158.5,53.6,21.35,Low,1561.0,Low
5,Male,122.7,17.9,11.92,Low,1112.0,Low
5,Male,131.8,42.8,24.62,Medium,1848.0,Medium
9,Female,115.3,15.0,11.27,Medium,997.0,Low
10,Female,138.9,43.0,22.27,Medium,1630.0,Medium
10,Male,133.3,37.3,21.0,High,2091.0,Medium
7,Female,136.8,27.2,14.54,High,1676.0,Medium
11,Male,160.4,54.3,21.11,Low,1795.0,Medium
13,Female,149.2,52.2,23.45,High,2212.0,High
15,Male,163.6,47.0,17.58,High,2561.0,High
16,Female,179.1,77.4,24.13,High,2974.0,High
14,Female,169.0,62.1,21.73,Medium,2169.0,Medium
12,Male,140.1,49.0,24.96,High,2359.0,High
10,Female,129.5,32.3,19.25,Medium,1383.0,Low
16,Male,176.5,86.1,27.62,Medium,2833.0,High
12,Male,148.6,48.3,21.87,High,2442.0,High
16,Male,150.3,49.4,21.86,Low,1629.0,Medium
9,Male,136.9,34.5,18.39,Low,1392.0,Low
12,Male,129.0,25.0,15.01,High,1802.0,Medium
14,Female,162.8,84.3,31.8,Low,1955.0,Medium
16,Female,162.4,68.8,26.11,High,2631.0,High
8,Male,141.2,32.7,16.38,High,2113.0,Medium
14,Female,162.4,83.5,31.67,Low,1943.0,Medium
12,Male,142.4,39.1,19.3,Medium,1839.0,Medium
14,Female,151.4,53.9,23.54,High,2258.0,High
16,Female,158.6,66.1,26.28,Medium,2117.0,Medium
6,Female,116.8,15.0,10.99,High,1241.0,Low
16,Female,157.3,50.7,20.49,High,2249.0,High
16,Male,165.1,78.2,28.72,Medium,2609.0,High
9,Male,100.7,15.0,14.8,Low,887.0,Low
13,Female,149.9,57.9,25.76,High,2322.0,High
8,Female,123.9,20.3,13.2,Medium,1164.0,Low
15,Male,166.2,65.5,23.69,Low,1948.0,Medium
10,Female,142.7,56.9,27.98,High,2250.0,High
5,Male,124.6,28.1,18.1,High,1871.0,Medium
13,Male,160.9,58.2,22.46,Medium,2291.0,High
5,Male,124.8,19.3,12.42,Medium,1430.0,Low
9,Female,129.3,24.6,14.71,Medium,1273.0,Low
8,Male,129.3,39.2,23.46,High,2097.0,Medium
17,Female,158.1,64.2,25.69,High,2492.0,High
16,Male,174.2,65.0,21.42,High,2994.0,High
17,Female,166.6,67.3,24.24,Medium,2202.0,High
17,Female,177.3,76.8,24.42,High,2934.0,High
7,Female,139.3,41.9,21.56,High,1968.0,Medium
17,Male,150.6,45.7,20.18,Low,1582.0,Low
10,Male,136.4,45.2,24.29,Low,1511.0,Low
6,Female,133.1,33.1,18.69,High,1750.0,Medium
7,Female,108.4,15.0,12.78,Low,757.0,Low
9,Female,139.2,32.9,16.99,Low,1192.0,Low
13,Male,161.6,55.7,21.33,Low,1808.0,Medium
6,Male,130.8,52.0,30.42,Medium,1968.0,Medium
14,Male,163.8,78.2,29.15,Low,2090.0,Medium
12,Male,131.1,30.5,17.76,Medium,1604.0,Medium
6,Female,135.6,47.8,26.02,High,2042.0,Medium
15,Female,190.0,99.7,27.62,High,3507.0,High
17,Male,159.8,54.8,21.47,High,2642.0,High
9,Male,121.8,16.0,10.77,Low,1057.0,Low
11,Female,118.5,23.9,16.99,High,1374.0,Low
12,Male,158.5,60.6,24.12,High,2775.0,High
5,Male,134.1,30.9,17.18,Medium,1691.0,Medium
10,Male,127.7,33.4,20.51,Low,1305.0,Low
5,Male,104.4,15.0,13.78,Medium,1173.0,Low
6,Male,105.5,15.0,13.47,High,1412.0,Low
5,Male,131.5,21.5,12.47,Medium,1525.0,Low
15,Female,172.4,62.8,21.12,High,2646.0,High
9,Male,115.8,15.0,11.19,Medium,1250.0,Low
14,Male,170.0,72.9,25.23,Medium,2590.0,High
13,Female,166.6,61.2,22.05,High,2569.0,High
10,Female,141.3,31.6,15.81,Low,1186.0,Low
15,Female,174.7,78.5,25.73,Medium,2462.0,High
15,Male,153.0,64.9,27.74,High,2763.0,High
5,Female,136.5,41.6,22.33,High,1949.0,Medium
17,Male,157.7,72.1,29.0,Low,1952.0,Medium
5,Male,142.8,54.1,26.52,Low,1696.0,Medium
6,Male,114.9,15.0,11.35,Medium,1265.0,Low
13,Female,161.5,66.5,25.52,High,2608.0,High
7,Female,125.6,24.9,15.76,Medium,1256.0,Low
5,Female,125.5,34.0,21.59,Medium,1408.0,Low
9,Female,129.9,29.2,17.29,Low,1077.0,Low
11,Female,132.1,25.8,14.79,High,1563.0,Low
10,Male,144.6,55.6,26.59,High,2547.0,High
16,Male,166.4,68.9,24.9,High,2977.0,High
5,Male,119.7,15.0,10.46,Medium,1317.0,Low
9,Male,129.0,25.1,15.04,High,1831.0,Medium
9,Female,111.5,15.0,12.06,Medium,962.0,Low
10,Female,141.7,33.7,16.79,Medium,1518.0,Low
7,Male,117.5,15.0,10.87,High,1538.0,Low
9,Female,121.8,24.7,16.69,Low,963.0,Low
11,Female,159.5,60.0,23.59,Medium,2071.0,Medium
9,Male,139.7,36.2,18.54,High,2150.0,Medium
9,Male,137.7,49.7,26.19,Medium,1976.0,Medium
9,Female,120.4,15.0,10.35,Low,836.0,Low
14,Female,174.1,76.5,25.25,Medium,2433.0,High
14,Male,166.1,65.0,23.55,Medium,2435.0,High
7,Male,125.5,17.7,11.24,High,1676.0,Medium
5,Male,124.2,27.1,17.59,Low,1233.0,Low
9,Female,142.6,40.8,20.08,High,1968.0,Medium
13,Male,178.7,88.6,27.77,Low,2332.0,High
5,Male,132.4,39.4,22.46,Low,1442.0,Low
7,Female,123.3,38.5,25.36,Low,1152.0,Low
17,Female,165.4,61.5,22.49,High,2525.0,High
17,Female,170.3,81.5,28.09,Low,1960.0,Medium
8,Female,119.8,15.0,10.45,High,1256.0,Low
5,Female,134.4,33.5,18.55,Medium,1483.0,Low
5,Male,115.8,15.0,11.19,High,1537.0,Low
12,Male,148.9,53.7,24.23,High,2544.0,High
6,Female,102.1,15.0,14.39,High,1075.0,Low
16,Female,159.5,52.3,20.56,High,2302.0,High
12,Female,165.8,71.0,25.85,Medium,2288.0,High
11,Female,155.4,52.3,21.68,High,2301.0,High
14,Female,180.4,73.8,22.69,Low,1961.0,Medium
14,Male,158.3,58.2,23.23,Low,1808.0,Medium
6,Male,126.0,15.0,9.44,Medium,1369.0,Low
10,Male,157.8,65.3,26.21,Medium,2391.0,High
10,Male,151.3,50.9,22.22,Medium,2115.0,Medium
7,Female,130.1,29.8,17.62,Medium,1373.0,Low
15,Male,181.3,80.6,24.52,Medium,2804.0,High
6,Female,114.6,27.8,21.15,Medium,1204.0,Low
16,Female,163.2,75.3,28.29,Low,1838.0,Medium
5,Female,107.5,18.3,15.82,High,1203.0,Low
10,Male,134.0,33.4,18.57,High,2028.0,Medium
16,Female,175.7,66.8,21.63,High,2746.0,High
9,Male,115.8,15.7,11.7,Medium,1261.0,Low
15,Male,172.4,74.9,25.2,Medium,2634.0,High
13,Female,181.6,88.1,26.71,High,3222.0,High
5,Female,123.2,25.7,16.93,High,1514.0,Low
11,Female,150.2,42.0,18.61,High,2057.0,Medium
9,Male,132.4,28.1,16.05,Medium,1604.0,Medium
9,Female,112.8,15.0,11.79,Medium,973.0,Low
6,Male,118.8,23.1,16.39,High,1709.0,Medium
15,Female,155.0,59.5,24.77,Low,1593.0,Low
7,Female,119.6,25.2,17.6,Medium,1205.0,Low
11,Male,152.2,54.6,23.57,High,2604.0,High
10,Male,139.0,22.6,11.68,High,1890.0,Medium
16,Male,164.6,50.8,18.75,Medium,2194.0,Medium
6,Male,114.6,15.0,11.43,Medium,1262.0,Low
10,Male,157.3,58.0,23.47,High,2733.0,High
6,Male,119.5,29.6,20.7,Medium,1527.0,Low
6,Female,140.2,40.9,20.77,High,1969.0,Medium
6,Female,125.6,17.8,11.28,High,1390.0,Low
15,Male,150.9,56.2,24.68,High,2584.0,High
7,Female,123.3,23.2,15.23,High,1451.0,Low
6,Male,114.4,15.0,11.47,Medium,1260.0,Low
8,Female,130.9,18.0,10.49,Medium,1195.0,Low
13,Female,162.4,63.1,23.92,Medium,2129.0,Medium
10,Male,146.6,48.5,22.54,Low,1627.0,Medium
5,Male,121.3,15.0,10.19,Low,1066.0,Low
12,Male,139.4,45.4,23.35,Low,1525.0,Low
16,Female,155.3,60.5,25.1,High,2402.0,High
11,Male,153.4,53.8,22.85,Low,1735.0,Medium
14,Female,163.3,63.4,23.77,Low,1708.0,Medium
7,Male,121.9,29.4,19.81,Low,1231.0,Low
5,Female,123.0,26.0,17.15,Medium,1264.0,Low
9,Female,118.2,15.0,10.73,Low,819.0,Low
17,Male,161.9,60.3,23.01,Medium,2302.0,High
8,Female,127.1,31.5,19.52,Low,1090.0,Low
14,Female,154.7,38.4,16.05,High,2015.0,Medium
12,Male,136.1,28.7,15.47,High,1948.0,Medium
5,Female,138.8,44.2,22.97,High,2023.0,Medium
14,Male,161.4,71.0,27.28,Medium,2481.0,High
5,Male,119.5,27.7,19.37,Medium,1505.0,Low
16,Male,151.6,58.7,25.56,Medium,2189.0,Medium
8,Male,133.5,34.5,19.38,Medium,1717.0,Medium
12,Female,134.4,26.2,14.5,Medium,1322.0,Low
9,Female,124.8,23.3,14.93,Low,968.0,Low
6,Female,107.9,15.0,12.88,High,1140.0,Low
10,Male,153.2,63.6,27.1,Low,1858.0,Medium
9,Female,136.8,30.2,16.16,Medium,1427.0,Low
6,Female,129.8,25.6,15.17,Medium,1314.0,Low
17,Male,149.7,58.1,25.95,Medium,2155.0,Medium
15,Male,173.4,60.5,20.11,High,2913.0,High
15,Female,156.7,47.2,19.22,Medium,1823.0,Medium
15,Male,153.3,55.4,23.59,Medium,2164.0,Medium
7,Male,121.2,25.3,17.25,Medium,1471.0,Low
13,Male,161.0,60.4,23.31,Low,1860.0,Medium
11,Male,139.9,39.6,20.24,Medium,1832.0,Medium
11,Female,157.7,67.9,27.28,High,2608.0,High
15,Male,185.1,90.2,26.32,High,3580.0,High
10,Male,131.3,35.3,20.48,High,2032.0,Medium
12,Male,138.1,44.3,23.23,Low,1502.0,Low
8,Male,126.4,24.0,15.03,Low,1194.0,Low
12,Male,141.1,58.5,29.38,Medium,2118.0,Medium
8,Male,129.0,15.0,9.01,High,1658.0,Medium
12,Male,154.2,65.8,27.7,High,2820.0,High
13,Male,172.5,79.7,26.79,High,3267.0,High
7,Female,131.1,33.1,19.25,Medium,1431.0,Low
7,Male,141.6,42.2,21.07,Low,1533.0,Low
15,Female,149.1,47.9,21.53,Low,1410.0,Low
17,Male,179.8,88.6,27.42,Low,2316.0,High
6,Male,120.9,20.6,14.07,Medium,1404.0,Low
17,Male,172.9,67.0,22.43,Low,2005.0,Medium
14,Male,154.7,61.9,25.87,High,2738.0,High
7,Female,115.9,28.6,21.28,Medium,1222.0,Low
7,Male,131.6,16.2,9.35,Medium,1432.0,Low
9,Male,105.7,24.6,21.99,Low,1040.0,Low
9,Female,134.9,26.6,14.62,Low,1084.0,Low
6,Female,137.6,29.9,15.8,High,1743.0,Medium
16,Male,166.8,56.8,20.43,Medium,2303.0,High
14,Female,166.4,66.4,23.98,Medium,2210.0,High
17,Female,156.7,46.4,18.92,High,2155.0,Medium
10,Female,151.7,42.5,18.45,Medium,1743.0,Medium
9,Male,128.5,23.0,13.91,Medium,1489.0,Low
10,Male,135.8,36.9,20.01,High,2111.0,Medium
5,Male,121.1,23.0,15.66,High,1740.0,Medium
9,Female,123.4,33.3,21.89,Medium,1348.0,Low
13,Male,161.1,70.8,27.3,Medium,2482.0,High
16,Female,151.4,59.6,26.0,Medium,1951.0,Medium
14,Male,172.0,69.9,23.63,High,3076.0,High
6,Male,122.6,15.0,9.99,Medium,1337.0,Low
5,Female,125.2,15.0,9.58,High,1343.0,Low
14,Male,159.2,67.4,26.57,High,2887.0,High
17,Female,169.8,76.5,26.55,High,2844.0,High
